date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 20, 2020 at 01:06PM",@PathForFreedom,"Border security is national security.

Rancher John Ladd explains why he endorses Brandon Martin. @ArizonaBeef @azfb #azbeef #azranchers #securetheborder https://t.co/OsyAbKDo4Z",http://twitter.com/PathForFreedom/status/1252282616394334209,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 20, 2020 at 07:41PM",@PathForFreedom,"RT @realDonaldTrump: .@FoxNews “Dems say President Trump is trying to open the United States Economy too quickly”, but, if I took even a little more time, they would loudly chant that I am moving too slowly. Just political talking points for them. For me it’s about lives &amp;  the future of our Country!",http://twitter.com/PathForFreedom/status/1252382015816495112,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 21, 2020 at 12:08AM",@PathForFreedom,"RT @realDonaldTrump: In light of the attack from the Invisible Enemy, as well as the need to protect the jobs of our GREAT American Citizens, I will be signing an Executive Order to temporarily suspend immigration into the United States!",http://twitter.com/PathForFreedom/status/1252449213289390080,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 21, 2020 at 11:04PM",@PathForFreedom,"Border security IS national security, especially in a crisis! We need to put our American citizens FIRST. https://t.co/4io1PsAVGh",http://twitter.com/PathForFreedom/status/1252795298570661888,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 22, 2020 at 12:39AM",@PathForFreedom,RT @EricTrump: 🇺🇸🇺🇸🇺🇸 https://t.co/4F550CRmQT,http://twitter.com/PathForFreedom/status/1252819375683321859,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 22, 2020 at 09:02AM",@PathForFreedom,Thank you .@realDonaldTrump for allowing our sailors to appropriately defend themselves when attacked. https://t.co/pZa38PovDj,http://twitter.com/PathForFreedom/status/1252945881197711361,FALSE,,FALSE,0,FALSE,FALSE,FALSE,0
"April 23, 2020 at 12:07AM",@PathForFreedom,"The world is waking up to China's deception. 

When will @TheDemocrats and @RepKirkpatrick?

https://t.co/Jsk5CtpJiW",http://twitter.com/PathForFreedom/status/1253173652213784577,FALSE,,TRUE,1,FALSE,FALSE,TRUE,0
"April 23, 2020 at 02:06PM",@PathForFreedom,"Martin Announces Plan to Revitalize US Economy in Wake of #Coronavirus with the Liberate the Economy &amp; American Paychecks (LEAP) Act 

Release: https://t.co/SmO9YmVFJM https://t.co/z4CNgsrHlx",http://twitter.com/PathForFreedom/status/1253384779170410496,,,FALSE,0,,,FALSE,0
"April 23, 2020 at 06:58PM",@PathForFreedom,"Virus or no virus, God calls on us to love all people with our heart, soul and strength (Mark 12:29-31)",http://twitter.com/PathForFreedom/status/1253458205826416640,,,FALSE,0,,,FALSE,0
"April 23, 2020 at 06:58PM",@PathForFreedom,RT @GOP: “Every single day we are one day closer to opening up America again.” -@Mike_Pence,http://twitter.com/PathForFreedom/status/1253458238521044993,,,FALSE,0,,,FALSE,0
"April 24, 2020 at 04:42PM",@PathForFreedom,"We believe it's important to reach out to the community because we know it's important to YOU. Thank you to the Arizona Range News​ for taking the time to discuss our U.S. House campaign for Arizona's 2nd Congressional District! @rangenews @AZGOP 

https://t.co/H3rCIfXKIQ",http://twitter.com/PathForFreedom/status/1253786409535549441,,,FALSE,0,,,FALSE,0
"April 24, 2020 at 07:05PM",@PathForFreedom,"I served the United States Army for 11 years, including a tour in Afghanistan. My brothers and sisters in arms deserve to have someone fighting for them in Washington. https://t.co/aDnFKGwrUV",http://twitter.com/PathForFreedom/status/1253822301159616512,,,FALSE,0,,,FALSE,0
"April 24, 2020 at 07:05PM",@PathForFreedom,RT @RepAndyBiggsAZ: Why not let us exercise ALL of our aspects of freedom safely? https://t.co/0pfrtIf0eI,http://twitter.com/PathForFreedom/status/1253822460836720645,,,FALSE,0,,,FALSE,0
"April 24, 2020 at 07:06PM",@PathForFreedom,RT @GOP: “The President has done such a great job protecting the health and safety of the American people.”-@parscale https://t.co/nkIc64pfYO,http://twitter.com/PathForFreedom/status/1253822541455454208,,,FALSE,0,,,FALSE,0
"April 24, 2020 at 07:57PM",@PathForFreedom,"There's only one Crystal Palace - and it's in Tombstone!

Kim Herrig is owner of the amazing Crystal Palace Saloon, a global tourist destination right here in #Tombstone #AZ

Please be sure to give them your business when things open up again. https://t.co/X76g29y8HO",http://twitter.com/PathForFreedom/status/1253835547463704576,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 03:12PM",@PathForFreedom,".@cityoftucson is shut down, but that doesn't stop trash from piling up. Team Martin kicked off our Precinct Patrol in #UdallPark Saturday to help keep our city clean.

Limited gov't means individual responsibility, each doing our part so that gov't doesn't have to do everything. https://t.co/Z0sV4jRymJ",http://twitter.com/PathForFreedom/status/1254488444123799552,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 03:16PM",@PathForFreedom,"Thank you for your work on behalf of the United States of America, @POTUS! The @WhiteHouse is working day and night to protect Americans and get the economy back to record levels of prosperity, thanks to @realDonaldTrump's pro-jobs &amp; American worker policies! #KeepAmericaGreat https://t.co/4lLgdCPXmO",http://twitter.com/PathForFreedom/status/1254489574224523265,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 03:17PM",@PathForFreedom,"RT @realDonaldTrump: Happy Birthday to Melania, our great First Lady!",http://twitter.com/PathForFreedom/status/1254489848620085250,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 06:54PM",@PathForFreedom,"RT @RepThomasMassie: Other members of Congress own cattle, but only a few of us RAISE cattle.

I fix the fences, feed the hay, castrate bulls, fertilize fields, put tags in their ears, move them between pastures, wean calves.

FOOD SHORTAGES ARE COMING.

USDA needs to acknowledge and respond now.",http://twitter.com/PathForFreedom/status/1254544353508257792,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 06:58PM",@PathForFreedom,The Bible provides us with many scriptures on how to deal with crises and pain. What scriptures bring you comfort and guidance right now?,http://twitter.com/PathForFreedom/status/1254545515066224640,,,FALSE,0,,,FALSE,0
"April 26, 2020 at 07:00PM",@PathForFreedom,"RT @WhiteHouse: In Phase Two, employers should consider special accommodations for vulnerable populations, encourage telework whenever feasible, and close common areas where groups are more likely to gather. Non-essential travel can resume. 

https://t.co/gdCIY9wJP8 https://t.co/aQvp0XDX14",http://twitter.com/PathForFreedom/status/1254545820776402944,,,FALSE,0,,,FALSE,0
