twitter handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@hinsonashley,"April 10, 2020 at 12:00PM","RT @joniernst: Today, we remember Jesus died for our sins. And we remember that no matter how dark things may seem, His grace is with us. #GoodFriday",http://twitter.com/hinsonashley/status/1248642112318517255,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 10, 2020 at 12:03PM","With Easter approaching, I have been reflecting on how grateful I am for my many blessings. It is inspiring to see Iowans pull together. Please consider supporting a local charity.  Matt and I picked the @SalvationArmyUS because of the great work they're doing in our communities. https://t.co/bhGEy2QemN",http://twitter.com/hinsonashley/status/1248642887849517058,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 10, 2020 at 12:11PM","@SalvationArmyUS Of course, keep up the great work!",http://twitter.com/hinsonashley/status/1248644848485269505,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 10, 2020 at 04:00PM","RT @WINRED: Check out these top #WinRed Team pages of the week supporting:

@FischbachMN7 
@JohnJamesMI 
@hinsonashley 
@Scotttaylorva 
@MichelleSteelCA 

⬇️",http://twitter.com/hinsonashley/status/1248702492369735682,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 12, 2020 at 07:08AM",Happy Easter! https://t.co/L51M5ly5jO,http://twitter.com/hinsonashley/status/1249293405747888128,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 12, 2020 at 02:31PM",RT @hinsonashley: Happy Easter! https://t.co/L51M5ly5jO,http://twitter.com/hinsonashley/status/1249404857850769414,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 12, 2020 at 08:52PM","RT @joniernst: Despite the #Covid19 pandemic, attending a virtual church service with Libby this morning helped bring us a sense of normalcy. I hope you all were able to find some way to hold on to Easter traditions today as well.  #HappyEaster https://t.co/cyrnIPIKE7",http://twitter.com/hinsonashley/status/1249500785467183106,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 13, 2020 at 11:13AM","Awhile back, I penned an op-ed discussing my plans and the approach I would take when dealing with issues effecting small business in Congress.  It stated, ""when a crisis hits our community, it is the small businessmen and women that show up to put us back together again... #IA01",http://twitter.com/hinsonashley/status/1249717343598661632,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 13, 2020 at 11:13AM","Small business owners have our back.."" - #COVID19 has proven this to be true.  Please consider getting takeout from your favorite local restaurant tonight while practicing good social distancing.  We will get through this.   https://t.co/2oM5tXl3yS #IA01",http://twitter.com/hinsonashley/status/1249717344525574144,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 13, 2020 at 02:48PM",#Covid19 has drastically changed the nature of campaigns. Many of the traditional events are no longer possible. I want to make sure I hear from you.  Plz send me a message on what issues you care most about and how we can do better to reach voters. https://t.co/IrAfHtlRvQ #IA01,http://twitter.com/hinsonashley/status/1249771473558024198,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 13, 2020 at 06:33PM","RT @joeyrep84: Delivered many face shields across the state today. Including nursing homes and to my good friend @hinsonashley who will be distributing some in Linn County! Also, visited Newbo the company partnering up with our family business to make the shields. Great operation! #IowaStrong https://t.co/PjM6iQW1Lm",http://twitter.com/hinsonashley/status/1249828138009444352,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 13, 2020 at 06:33PM",RT @hinsonashley: #Covid19 has drastically changed the nature of campaigns. Many of the traditional events are no longer possible. I want to make sure I hear from you.  Plz send me a message on what issues you care most about and how we can do better to reach voters. https://t.co/IrAfHtlRvQ #IA01,http://twitter.com/hinsonashley/status/1249828190044008456,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
@hinsonashley,"April 14, 2020 at 09:48AM",🚨🚨 @Team_HinsonIA is growing! My colleagues endorsing me today know the seriousness with which I take the responsibility of serving in public office and how seriously I take the responsibility of being a public policy maker.  Let's.  Go.  Win.  https://t.co/KO87YgI0YX #IA01,http://twitter.com/hinsonashley/status/1250058365524459522,FALSE,FALSE,FALSE,0,FALSE,,FALSE,0
