date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 14, 2020 at 02:51PM",@JeanneIves,Jeanne Ives has proposed a 12% property tax deduction as part of #COVID Relief. https://t.co/MfLhOunZmN,http://twitter.com/JeanneIves/status/1250134622450696192,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 14, 2020 at 04:28PM",@JeanneIves,"Democrats - including Dr. Fauci -  knew that COVID-19 was coming in January. And yet they wasted our country’s time on impeachment instead. They should have been preparing our response, but they played political games and tried to divide our country. Absolutely ridiculous! https://t.co/zjqai1mgfd",http://twitter.com/JeanneIves/status/1250158894976040969,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 15, 2020 at 01:00PM",@JeanneIves,"While Bernie may not be running for President anymore, his  socialist agenda is still going strong. Sean Casten and AOC are just two of the frontrunners to take up his mantle in the future! Bernie has pushed the Democrats further left than ever before and we must stop them! https://t.co/viLzgaH1bS",http://twitter.com/JeanneIves/status/1250469089455243264,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 15, 2020 at 06:22PM",@JeanneIves,"You can't trust everything you read in Chicago Media outlets. Here's a perfect example: the Daily Herald published a letter from a woman who completely misrepresented my position on social security. I'm setting the record straight.

https://t.co/zgD8Veer3l",http://twitter.com/JeanneIves/status/1250550011156475905,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 15, 2020 at 06:28PM",@JeanneIves,"Dr. Kevin Most, Chief of Medical Staff at Northwestern Medical (CDH), joined me again today to give us an update on what doctors and nursed in our community are experiencing as they work to combat the Coronavirus.

https://t.co/eNrOGFdQxE",http://twitter.com/JeanneIves/status/1250551549031600144,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 16, 2020 at 10:51AM",@JeanneIves,"""We're effectively being put out of business..."" A local restaurant owner shared his lowest point with me recently. It is an important perspective for everyone to understand and one that is almost completely ignored by the media.

https://t.co/ILCy5bUdHY",http://twitter.com/JeanneIves/status/1250799075064250368,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 16, 2020 at 02:50PM",@JeanneIves,Sean Casten told his constituents that China acted quickly to contain the virus. We know this to be absolutely false. He needs to stop spreading this propaganda and when I get to Washington I will make them answer for what they’ve done instead of defending them like Sean! https://t.co/CJUn8MyanP,http://twitter.com/JeanneIves/status/1250859176416415744,TRUE,TRUE,,1,FALSE,FALSE,,0
"April 16, 2020 at 04:50PM",@JeanneIves,I am honored to have been endorsed by @maggieslist1! https://t.co/BwlpgUrGl2,http://twitter.com/JeanneIves/status/1250889381000491009,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 01:52PM",@JeanneIves,"Eric Zhang, and international business consultant, joins me to discuss the Chinese government, China's involvement in business, and his analysis of the Chinese government's role in the spread of the Coronavirus. #IL06 #Election2020 

https://t.co/KMBedrOBV0",http://twitter.com/JeanneIves/status/1251206794745126920,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 03:41PM",@JeanneIves,"It wasn’t until April 3rd that Illinois started properly collecting and publishing data on the number of hospitalizations, and bed/ventilator availability across the state. Our state leaders should focus less on squabbling w/ the President and make sure these lapses stop! https://t.co/3R5NhrfxqK",http://twitter.com/JeanneIves/status/1251234231545671680,TRUE,FALSE,,1,FALSE,FALSE,,0
