date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 01, 2020 at 03:15PM",@shay_stautz,"Friends, I need your help to get on the ballot. If you haven't already, please take a moment to sign my petition online at the link below. #AZ02 https://t.co/m3AGLw5BFC",http://twitter.com/shay_stautz/status/1245429497219944456,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 04, 2020 at 03:23PM",@shay_stautz,"@dougducey @honeywell Thank you, Governor Ducey for your leadership during this unprecedented time - and to Honeywell for stepping up for Arizona!",http://twitter.com/shay_stautz/status/1246518751278690305,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 06, 2020 at 11:29PM",@shay_stautz,"With nearly half of our signatures collected online and already verified, I am happy to report we will be on the ballot! I’d like to thank everyone who signed my petition. Together, we’re going to beat Ann Kirkpatrick and take back our seat this November! #AZ02 https://t.co/PrzHUmVOKr",http://twitter.com/shay_stautz/status/1247365762446049282,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 08, 2020 at 08:00PM",@shay_stautz,#HappyPassover to all our Jewish friends and neighbors who are beginning celebrations this evening! https://t.co/RQkJ8cpiIF,http://twitter.com/shay_stautz/status/1248037956222365697,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 10, 2020 at 05:15PM",@shay_stautz,"I am wishing a blessed #GoodFriday today to all our Christian friends and neighbors. Soon, our sadness on this day will be overcome by the joy of Easter. https://t.co/sCNbhXWWrm",http://twitter.com/shay_stautz/status/1248721183786369025,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 12, 2020 at 10:30AM",@shay_stautz,He Is Risen! #HappyEaster to all who are celebrating and worshipping today. https://t.co/zAjnr0CnI0,http://twitter.com/shay_stautz/status/1249344035950661632,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 15, 2020 at 01:55PM",@shay_stautz,Reminder for taxpayers: The IRS has extended the federal tax filing deadline until July 15th as a result of the ongoing #COVID19 crisis. #TaxDay https://t.co/iiLyhhD7Zq,http://twitter.com/shay_stautz/status/1250482793362141187,FALSE,,FALSE,0,FALSE,,FALSE,0
"April 17, 2020 at 06:40PM",@shay_stautz,"Arizona has lost a giant with the passing of former Governor Jane Dee Hull. She will certainly be remembered as she wished, ""a straight shooter."" As a State Representative, Secretary of State, and finally Governor, Hull served our state admirably. https://t.co/0zDCesWJok",http://twitter.com/shay_stautz/status/1251279283324100608,,,FALSE,0,FALSE,,FALSE,0
