date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 17, 2020 at 11:36AM",@YoungForIowa,The PPP funds to help Iowans ran dry yesterday.  Yet Nancy Pelosi and House Democrats are stalling and blocking this vital help Iowans need now.  Cindy Axne is silent and not standing up for Iowans - and not standing up to and against Pelosi on behalf of Iowans.,http://twitter.com/YoungForIowa/status/1251172692566343682,FALSE,FALSE,,0,TRUE,TRUE,,1
"April 17, 2020 at 11:36AM",@YoungForIowa,Even Obama’s former small-business chief is telling Pelosi and Axne and the rest of the House Democrats to quit stalling and refill the PPP funds NOW! #IA03 https://t.co/BoJiTWmSO5,http://twitter.com/YoungForIowa/status/1251172693690515456,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 12:40PM",@YoungForIowa,Do you plan to vote by mail? I want to know! Take the poll in the link. #IA03 https://t.co/n78PjtJ4U0 https://t.co/eGKPnf2XoQ,http://twitter.com/YoungForIowa/status/1251188686810644481,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 02:40PM",@YoungForIowa,"There is a huge need for blood. I gave today. And if you have a chance and can, I ask that you consider giving as well. Help save a life. #IA03 https://t.co/CeblmOVPqn",http://twitter.com/YoungForIowa/status/1251219113906765828,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 06:33PM",@YoungForIowa,RT @naomicorrie: Quick shout out to Team Young for checking in on me and the family today! A candidate and team that really cares! @YoungForIowa #ia03,http://twitter.com/YoungForIowa/status/1251277752218632193,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 17, 2020 at 08:57PM",@YoungForIowa,Great news for Iowa farmers and ranchers! #IA03 https://t.co/DQefFOKlrx,http://twitter.com/YoungForIowa/status/1251313932989534209,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 01:07PM",@YoungForIowa,Iowans are being encouraged to vote by mail in the June primary. The Iowa Secretary of State will mail absentee ballot request forms to voters. Make sure you request your ballot! #IA03 https://t.co/qW48hLUCHN,http://twitter.com/YoungForIowa/status/1251557859629948928,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 18, 2020 at 06:43PM",@YoungForIowa,Grass isn’t the only green starting to sprout! Keep an eye out for our signs which are going up around the district! #IA03 https://t.co/WQaLRHA6DT,http://twitter.com/YoungForIowa/status/1251642565218185221,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 19, 2020 at 05:13PM",@YoungForIowa,Thanks to Ray Gaesser in Adams County for proudly displaying his David Young signs! #IA03 https://t.co/MGxtQTgvXc,http://twitter.com/YoungForIowa/status/1251982368132513794,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 20, 2020 at 01:45PM",@YoungForIowa,I was awarded the 'U.S. Wind Champion Award' in Congress from the American Wind Energy Association in recognition of my advocacy for wind energy. Iowa is an incredible leader in this clean energy source. #IA03 https://t.co/mpEHQahkvY,http://twitter.com/YoungForIowa/status/1252292218653720576,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 20, 2020 at 04:35PM",@YoungForIowa,"I'm honored to receive the endorsement of Iowa's Lt. Gov. @AdamGreggIA. “David Young is a hardworking Iowa leader, who never forgets the people he represents. I’m proud to support him, and will work hard to send him back to Washington to represent us.” #IA03 https://t.co/XQEgkJi65d",http://twitter.com/YoungForIowa/status/1252334986839162880,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 20, 2020 at 05:40PM",@YoungForIowa,"Victims of crime oftentimes have no voice in the aftermath and aren't able to heal and see their offenders brought to justice. During Crime Victims' Rights Week, let's remind them they're not alone and that there are resources to help. Visit https://t.co/pZkv4f7pqu for more. https://t.co/R0JiyUaCWF",http://twitter.com/YoungForIowa/status/1252351350093910016,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 21, 2020 at 09:30AM",@YoungForIowa,Today is Holocaust Day of Remembrance. Let us remember every day those millions of lives lost during the Holocaust. Let us ensure this never happens again. #IA03 https://t.co/IW9PF24G52,http://twitter.com/YoungForIowa/status/1252590460306182144,FALSE,FALSE,,0,FALSE,FALSE,,0
"April 21, 2020 at 02:46PM",@YoungForIowa,I kept up with supporting local restaurants last week with stops at a couple of local institutions - Tasty Tacos and @Jethros_BBQ. #IA03 https://t.co/4mMCCi1H8b,http://twitter.com/YoungForIowa/status/1252670161225764870,FALSE,FALSE,,0,FALSE,FALSE,,0
