handle,date,content,url,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
@Ghassali2020,2020-03-02 1:56:21,"I came from a socialist country. 

Bernie Sanders is pushing for socialism but he has no clue what socialism really is.

The government controls so many freedoms Americans cherish. 

They control what you eat, when you eat, the car you drive, healthcare, etc.. Total Failure.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-01 17:28:51,"Jorge and Betty Rivas are wonderful. 

Like they said, Latino or not, they have the right to support anyone they choose.

I came here LEGALLY over 40
Years ago. 

I applaud Jorge and Betty at Sammy’s Mexican Grill for speaking out. Thank you 

 https://t.co/Fip2z3DCIs",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-03-01 17:17:00,".@realDonaldTrump is working around the clock for YOU. 

He wants to keep you safe. 

He wants you to prosper. 

He wants you to believe in the American dream. 

He wants to return the power back to you, the citizens of this country. 

Thank you President Trump!",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-29 20:34:11,"While others TALK about LOWER TAXES, I got it done in Montvale and I’ll get it done in Washington! 

#nj5 #cd5 #welikemike #mikeghassali #teamghassali https://t.co/wRl50pOytx",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-29 0:49:03,God Bless America 🇺🇸 https://t.co/YgLX6MXwrt,,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-25 15:21:02,"As a legal and responsible gun owner, I will fight to ensure our 2nd Amendment rights are never infringed!

#2A #nj5 #cd5 #leadright #teamghassali https://t.co/ANtz9DVRGp",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-24 14:16:45,"If Bernie Sanders wants to implement socialism so bad, he needs to move to Cuba and be their leader. 

Stay out of America Bernie.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-23 15:50:02,"We must protect FREE SPEECH! 🇺🇸

#nj5 #cd5 #teamghassali #welikemike #freespeech https://t.co/jsLUSEKxvi",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-23 13:13:13,"Under @realDonaldTrump leadership, America’s economy is flourishing. 

Unemployment is at a record low. 

401K’s have skyrocketed. 

Employee pay has increased dramatically. 

Our immigration system is being overhauled. 

America is getting back to business.",,FALSE,FALSE,FALSE,0,,FALSE,,0
@Ghassali2020,2020-02-23 4:42:28,.@BernieSanders May have won tonight in Nevada but SOCIALISM will FAIL and lose in November.,,FALSE,FALSE,,0,,FALSE,,0
