handle,date,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
,2020-04-13 16:23:48,"MaxFit in Largo is #vetowned &amp; has supplements #MadeInAmerica ! 🏋🏻‍♂️ 
They are also open for business!",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-12 17:02:53,".@FLOTUS ‘s Easter Reading! 🕊💜✝️

 https://t.co/YfdNVGt5YO",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-12 16:35:35,Yeshua is King! #JesusIsAlive https://t.co/wwOdYjrUHY,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-12 5:19:56,"A very Happy #Easter! 🕊✝️🤍 He has risen! Please join me in worship online at the link below! Times are either 9:00am , 11:00 am, or 6pm! 

https://t.co/nOffVD9BDi https://t.co/SldzklBVWF",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-11 22:31:48,"There are more people @Target &amp; @Walmart any given day then most church services, restaurants, &amp; family gatherings. 

The constitution is not toilet paper &amp; it’s time we remind the power hungry legislators of that...

Michigan &amp; Kentucky are out of line.",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-11 19:05:59,"Want to know how bad the @DeptVetAffairs is? 

I know someone who was shot in combat, has a shorter leg muscle, suffers from chronic back strain bc of it, &amp; was awarded 0% by the VA. 

More #veterans are needed in congress to make changes. Not just people they sympathize.",,FALSE,FALSE,,0,TRUE,TRUE,,1
,2020-04-11 4:27:49,"They are going too far. 
Big government needs to back off. https://t.co/w2RPcVgY9b",,FALSE,FALSE,,0,TRUE,FALSE,,1
,2020-04-11 4:22:25,"This is straight propaganda. 
If @AOC wanted to talk trafficking she would start by reading the @StateDept reports and realize open borders are directly connected. 

@nowthisnews you should consider reporting on that if you actually care. https://t.co/TGLsIteb0k",,FALSE,FALSE,,0,TRUE,FALSE,,1
,2020-04-11 2:40:52,"In the words of @icecube: 

“check yo self before you wreck yo self.”

CC: @Alyssa_Milano https://t.co/RX4TcLam2S",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-11 2:37:59,🙏🏼 https://t.co/GVVOR5P2lf,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-10 18:50:46,A very Happy #GoodFriday to you all! 🕊🤍✝️ John 3:16 ✝️🤍🕊 https://t.co/gvqbNYZ8Ji,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-10 18:12:27,A very Happy #GoodFriday to you all! 🕊🤍✝️ John 3:16 ✝️🤍🕊,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-10 5:03:06,"Meanwhile yesterday on my campaign trail... 💁🏻‍♀️
CC: @Alyssa_Milano https://t.co/8JKs5LOEBM https://t.co/h1r0ZySVBG",,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-09 20:45:09,Day 14 of social distancing and here I am with my eyes uncontrollably watering due to making salsa. 😂,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-09 17:51:10,Gas is $1.67 on base at @MacDill_AFB !!! 🥳,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-09 15:58:14,... and this is why I will NEVER be a Democrat. https://t.co/TCsAPl9djf,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-09 2:44:30,Mask up Ladies &amp; Gents! Repping @forceblueteam while I’m at it. 🐟🐠🐡🐳🐬 #savetheoceans https://t.co/BC8bEczkNO,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-09 2:38:04,When #joeexoctic heard @realDonaldTrump may pardon him. 😂 https://t.co/MkujrUa9D8,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-08 22:57:47,Happy Passover 💙,,FALSE,FALSE,,0,FALSE,FALSE,,0
,2020-04-08 15:36:22,"Proud to support New Life Solutions and support life!

Support our walk for life below!⬇️

https://t.co/Ogn1NIIqPQ",,FALSE,FALSE,,0,FALSE,FALSE,,0
